feature 1,feature 2,class
4.689295049829418,1.970868434937251,0
1.1643129907109446,1.8763150496595142,0
3.732491513880383,1.9893944498203133,0
1.308330304861884,1.925736409334473,0
4.110127331909071,2.3148338414969807,0
1.8290179648412757,1.511662540011591,0
4.603020156289106,1.9702216336935332,0
4.227990111368603,2.0929014788644014,0
2.086259507568622,1.9096894798053858,0
1.1367903697915156,1.4350785194658835,0
1.4063386501106656,1.9063452172203277,0
4.610676319732008,2.3308732996144097,0
1.219178762449059,1.8689351413608928,0
4.146457025519547,2.061490042378211,0
4.401844753598851,1.6985055342570041,0
4.885350451697729,2.165112370774599,0
1.2292311998776164,2.244670515536347,0
4.825406886947868,1.507654273426418,0
4.14419422814979,1.6736758860138248,0
4.435485715333597,2.1616203427258154,0
1.4121312448649952,2.1428450286046985,0
4.132230306306479,2.6199737620070156,0
4.5232834873784,1.5428118808677507,0
4.1037854699477245,1.7734809081588911,0
4.828824063997796,2.758717193061579,0
1.6986856612044932,1.944694279531526,0
1.538831019739216,2.387457996213156,0
1.5270112818751695,1.4301007255146172,0
4.321394019173192,2.3425595177293888,0
0.908591203853029,1.7120623166421165,0
4.075078514509558,2.1894369722540725,0
1.7953866319981642,2.0685473124759883,0
1.4711959513678665,2.4014131591568098,0
4.750266939106003,1.657136977433487,0
1.9123998089983805,2.3725120476464796,0
0.45210195836410216,2.3287610017500895,0
4.569272370340473,2.1541269518915347,0
1.5835454380019023,1.2161319504480899,0
4.590983973841651,2.5228571017129715,0
4.469159316234358,2.1364607899266574,0
4.6172289893194725,1.714259432789453,0
1.5367043106142009,1.2049724341596428,0
1.6446544100190537,1.7419520981579502,0
1.6325053725614256,2.3902180508489437,0
4.603953117699369,2.312729148710924,0
4.963438231602962,1.6717270726593159,0
4.486115292117903,1.5325287849521871,0
2.1316851262029566,2.3069738916611637,0
4.410614885869659,2.2856001976368368,0
1.3122102456260192,2.217024017434386,0
4.816412778817218,1.6362450180821044,0
1.8661608470808297,2.1315004438638736,0
5.246309804457903,2.189533168364715,0
4.5856374976520815,1.5017044885152049,0
1.4856695843560195,2.6258574623256026,0
4.161282512772638,1.3940611101256541,0
5.254474360484212,2.0698311251327355,0
4.708776626246759,2.1187938692932744,0
1.314632922875015,1.8137080985718972,0
4.0716430007755555,2.192988966097274,0
4.362914193389292,1.6790890923113524,0
1.6184481108258304,2.104422108871956,0
4.005219715648767,1.4718173547662894,0
4.02347860111894,2.262621443453532,0
4.186698683065505,1.8711753935177298,0
1.4537406870447038,1.8795585217642845,0
5.06111772437444,1.4392595748830876,0
3.857006706175509,2.0738535434129215,0
4.423055614087551,2.120618936933445,0
4.5052007567511625,2.5814136308629267,0
3.933851703179834,1.8317418708938564,0
4.734742837520108,2.8761822503239913,0
1.0574660103975888,1.5215173503677317,0
3.879734627573547,2.0274251899224107,0
1.259744524032478,1.8833225000826892,0
4.60019714013835,2.1385792837987903,0
1.0396025690310788,2.1502792073382686,0
1.2593173551082413,2.740911273803575,0
0.8100328669947868,1.7750849883036108,0
4.539860546035056,1.7986097383535202,0
0.9687255804406277,2.0787444943476494,0
1.2880959184931844,2.2053069732453423,0
1.6445582422033656,2.6152146265863876,0
4.52409208397641,2.9852968449941146,0
1.5967849086264136,1.2346879021368808,0
4.957129125806008,2.30077321307471,0
1.282246910189927,2.0443690358839466,0
1.315744491616085,2.4228488904875665,0
1.6374473158273846,1.2947839378549064,0
1.5020453826569844,1.9061651466499412,0
1.629633587757918,1.8459670878334733,0
2.0911576178966067,1.792691912690541,0
1.5348188272952685,1.880397059813653,0
1.3431567387471368,1.4145940207471526,0
1.176602558842725,1.7992971825661854,0
1.0948675518662305,2.1256989330381098,0
1.8250103289576791,2.5424960114283293,0
1.4946011101048264,1.5769156284176398,0
4.394137266704818,3.0880676666358475,0
1.759075415240277,2.6092119425632103,0
6.749080237694725,2.0,1
7.89898568750192,2.154730993082469,1
7.455090501044314,2.2817027735681434,1
7.1785015825911795,2.3969814321247527,1
